"domainID","siteID","horizontalPosition","verticalPosition","date","wssTempTripleMean","wssTempTripleMinimum","wssTempTripleMaximum","wssTempTripleVariance","wssTempTripleStdErMean","wssTempTripleNumPts","tempTripleQF"
"D01","HARV",0,60,2017-01-01,0.0311,-1.5007,1.4741,0.5122,0.0027,72060,1
"D01","HARV",0,60,2017-01-02,-1.0809,-4.607,0.7075,1.2066,0.0037,86460,1
"D01","HARV",0,60,2017-01-03,0.623,-0.5548,1.7634,0.5873,0.0026,86460,1
"D01","HARV",0,60,2017-01-04,1.6194,-0.1994,3.5916,1.1262,0.0036,86460,1
"D01","HARV",0,60,2017-01-05,-4.9139,-7.4595,-0.0817,3.038,0.0059,85871,1
"D01","HARV",0,60,2017-01-06,-6.2453,-8.0647,-4.2251,0.4969,0.0026,72060,1
"D01","HARV",0,60,2017-01-07,-9.6523,-10.767,-7.9055,0.3768,0.0021,86460,1
"D01","HARV",0,60,2017-01-08,-12.0875,-15.2039,-9.4836,2.7318,0.0062,72060,1
"D01","HARV",0,60,2017-01-09,-13.5029,-17.3522,-9.6471,4.921,0.0075,86460,1
"D01","HARV",0,60,2017-01-10,-7.9319,-12.0559,-0.2649,17.5632,0.0143,86460,1
"D01","HARV",0,60,2017-01-11,4.9469,-0.3822,8.6638,4.425,0.0072,86460,1
"D01","HARV",0,60,2017-01-12,7.053,2.9715,10.3528,5.955,0.0083,86460,1
"D01","HARV",0,60,2017-01-13,3.7954,-3.0705,10.6821,19.3801,0.015,86460,1
"D01","HARV",0,60,2017-01-14,-7.3591,-11.464,-3.0426,6.3236,0.0086,86460,1
"D01","HARV",0,60,2017-01-15,-4.8562,-6.7789,-0.6171,3.0084,0.0065,72060,1
"D01","HARV",0,60,2017-01-17,0.2276,-1.977,4.0102,2.2173,0.0051,86460,1
"D01","HARV",0,60,2017-01-19,0.3449,-1.6339,4.017,3.398,0.0063,86459,1
"D01","HARV",0,60,2017-01-20,0.1903,-0.9257,2.1739,0.5691,0.0026,86460,1
"D01","HARV",0,60,2017-01-21,2.9012,-0.0784,8.6147,10.6669,0.0111,86460,1
